id|content|labels
AEG_Electrolux_modelo_Lavamat_L_6482__Opinion_1929564|servicio técnico carga frontal puerta grande ropa sucio tecnología perfecto control automático sistema antiespuma programa especial plancha fácil parte frontal sistema único forma uniforme ropa perfecto ropa blanco ropa impecable|5
AEG_Electrolux_modelo_Lavamat_L_6482__Opinion_2087573|mañana temprano ruido ajeno pared contiguo|4
AEG_L62850L__Opinion_1998638|nave espacial posición especial planchado fácil operación especial|4
AEG_L74810__Opinion_1133465|ahorro importante servicio técnico prenda delicado programa especial centrifugado especial|4
AEG_L75480FL__Opinion_2005662|carga frontal carga máximo|5
AEG_L75480FL__Opinion_2007093| |5
AEG_L_12500_VI__Opinion_1157398|control automático humidificación rápido sistema antivibración clase energético programador electrónico sistema antidesbordamiento modelo superior|5
AEG_L_48380__Opinion_1284180| |5
AEG_L_48380__Opinion_986519|carga superior factor importante aspecto externo parte posterior cara superior lavado principal parte posterior cara superior punto interesante parte inferior display digital control correspondiente parte derecho mando giratorio mando giratorio algodón resistente prenda delicado opción posible programa rápido aspecto interesante máximo posible lavado medio ciclo entero|5
AEG_L_48380__Opinion_991396|piso digno carga superior dato técnico lavado delicado lavado corto lavado delicado prelavado resitente prelavado delicado lavado blanco carga extraible tiempo remanente humidificación rápido sistema automático sistema antiespuma apertura suave|5
AEG_L_60600__Opinion_1004164|vida útil centrifugado rápido lavadora silencioso|4
AEG_L_60600__Opinion_1012281|niño pequeño prenda delicado tiempo restante nave espacial|4
AEG_L_60800__Opinion_1008942|calificacion energetica durarero mejor precio dificil servicio tecnico tiempo restante|5
AEG_L_60800__Opinion_1485048|marca alemán desague delantero|5
AEG_L_62699__Opinion_1013506|lavadora sólido hijo adolescente lavadora ecológico puerta frontal|5
AEG_L_70660__Opinion_979613|planchado facil recipiente cómodo|5
AEG_L_70786_VT__Opinion_1051865| |5
AEG_L_70786_VT__Opinion_1222519|panel frontal|5
AEG_L_72740__Opinion_1036032|ve necesario|5
AEG_L_72786_VT__Opinion_1272265|máquina lavador control electrónico tiempo remanente puerta reversible programación electrónico control automático humidificación rápido sistema automático sistema antiespuma clasificación energético programa normal carga máximo|5
AEG_L_74850__Opinion_1750314|edredón enorme sistema antivibración forma rapida ciclo nocturno|5
AEG_L_74850__Opinion_1750578| |5
AEG_L_84741__Opinion_1175010|servicio tecnico servicio tecnico|2
AEG_L_W_1000_new__Opinion_1016805| |4
AEG_L_W_1050_new__Opinion_1004560|servicio técnico niño pequeño servicio técnico|1
AEG_L_W_1050_new__Opinion_1930025|servicio tecnico lavadora duro|3
AEG_L_W_1050_new__Opinion_751551|acero inoxidable carga frontal programa especial mancha difícil programa corto programa medio prenda delicado ropa blanco mañana siguiente lavado normal resultado extraordinario resultado caro|5
AEG_L_W_1050_new__Opinion_800643|compra barato mas robusto vez diario robustez impresionante electrodoméstico caro mas caro|5
AEG_L_W_1050_new__Opinion_807428|aparato electronicos mas sencillo mas barato tecnología alemán fabricación alemán mas caro|5
AEG_L_W_1050_new__Opinion_818734|servicio tecnico|2
AEG_L_W_1050_new__Opinion_835478|jubilacion definitivo dia siguiente parte frontal prenda delicado duracion corto|5
AEG_L_W_1050_new__Opinion_836462|carga frontal ropa delicado servicio técnico|5
AEG_L_W_1050_new__Opinion_846417|parte frontal prenda delicado mancha deficiles duracion corto carga frontal programa especial mancha difícil programa corto programa medio prenda delicado|5
AEG_L_W_1050_new__Opinion_956926|prenda delicado mancha dificiles carga frontal|5
AEG_L_W_1050_new__Opinion_969874| |4
AEG_Lavamat_62850_L__Opinion_2004295|color blanco clasificación energético humedad residual impresión general capacidad suficiente|5
Altus_AL_6100__Opinion_2086322|eficiencia energético medida estándar entrada frontal prenda delicado|5
Ansonic_LTA_106__Opinion_1269698|llamada telefonicas|1
Ansonic_LTA_106__Opinion_1668379|día siguiente|1
Ardo_A_400__Opinion_1035000| |4
Ardo_FLO_127_L__Opinion_1793892|hilo negro lavadora igual lavado largo opinion favorable|1
Ariston_AB_95__Opinion_1298448|hormigon superior chapa inferior parte superior zocalo inferior servicio oficial|1
Ariston_AVL_82__Opinion_952853|prestación propio marca blanco descuento adicional precio habitual garantia adcional pago adicional|4
Ariston_AVL_84__Opinion_1684276| |2
Ariston_AVXL_109__Opinion_1044723|servicio técnico día siguiente programa duro programa corto minuto duro hora duro|2
Ariston_AVXL_89__Opinion_1105303|lavado profundo lavado rapido as vezes lavadora anterior|4
Ariston_Aqxxl_109__Opinion_1294597| |4
Ariston_Aqxxl_109__Opinion_1638863|programa ecologico programador horario colcha grande|4
Ariston_Aqxxl_109__Opinion_2131316|panel frontal boton circular lavado delicado panel pequeño color verde programación entero lavadora normal programa normal|1
Ariston_Aqxxl_129__Opinion_1284198|verdad vivo eficacia imprescindible|5
Ariston_Aqxxl_129__Opinion_1446301|lavadora diario alfombra grande programa específico algodón blanco lavado específico valor menor día siguiente avión jaja lavado importante|5
Artrom_LV_0805__Opinion_2111730|agua potable uso doméstico clase energético ahorro energético diseño bonito display frontal ruleta giratorio función relativo|3
Artrom_TG60_10605_E__Opinion_2121598|agua potable uso doméstico clase energético ahorro energético diseño bonito display frontal ruleta giratorio función relativo|4
Asko_W_6984_S__Opinion_2092525|tecnicas basicas carga frontal acero inox apertura automatica ruido solo categoria superior mas tipicos|5
Aspes_ALF_106__Opinion_2005046|sistema intensivo aclarado extra aclarado adicional piel sensible piel atópico ropa delicado capacidad máximo eficacia energético|5
Aspes_ALF_108__Opinion_1616707|tipo comparativo opcion turbo mancchas dificiles filtro autolimpiable opinion breve|5
Aspes_ALF_108__Opinion_2103225|personal técnico cliente contento móvil directo|5
Aspes_ALF_1106__Opinion_1632317|grupo empresarial empresa industrial grupo empresarial marca verde eficiencia energético color blanco carga frontal puerta frontal acero inoxidable puerta frontal sistema antidesbordamiento aclarado extra filtro autolimpiable familia numeroso servicio técnico|3
Aspes_ALF_1106__Opinion_1761181|carga frontal agua frío agua caliente colada normal consumo energenético ahorro energético cosa bueno parte frontal ropa delicado centrifugado extra sistema antiplanchado tod@s compis|5
Aspes_ALF_1106__Opinion_1846612|servicio tecnico clasificacion energetica|3
Aspes_ALF_1106__Opinion_2082828|personal técnico cliente contento móvil directo|5
Aspes_ALF_1106__Opinion_2092474|asistencia técnico apertura frontal programa disponible categoría energético energía bueno diseño moderno lavadora moderno aspecto ideal precio asequible precio asequible|4
Aspes_ALF_1106__Opinion_2118068|personal técnico cliente contento móvil directo|5
Aspes_ALF_1106__Opinion_2125357|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
Aspes_ALF_1106__Opinion_2132268|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
Aspes_ALF_1106__Opinion_2133663|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
Aspes_ALF_110__Opinion_2029259|cliente contento móvil directo|5
Aspes_ALF_110__Opinion_2093176|lavadora estupendo gasto energetico color blanco apertura total aclarado extra facilidad asombrante|4
Aspes_ALF_110__Opinion_2126656|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
Aspes_ALF_2106IT__Opinion_2082043|puerta frontal calificación energético carga frontal consumo anual lavadora entero|3
Aspes_ALF_2106IT__Opinion_2082056|objetivo posible carga frontal calificación energético precio barato|3
Aspes_ALF_2106__Opinion_2085603|color blanco carga frontal clase energetica lavadora competitivo|4
Aspes_ALT_106__Opinion_2090543|fabricante español gama medio carga superior sistema antiarruga carga superior capacidad tipica carga superior carga superior r.p.m. iria acero inox consumo electrico carga superior|4
Aspes_ALT_108__Opinion_1865205|reparación vitrocerámicas reparación secador reparación frigorífico repararsu electrodoméstico|5
Aspes_ALT_108__Opinion_1995199| |4
Aspes_ALT_108__Opinion_2124009|recargo aaspesuno móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
Aspes_ALT_110__Opinion_2016972|lavadora viejo lavadora nuevo factor determinante lavadora modesto clase energético lavadora pequeño lavadora pequeño|3
Aspes_ALT_110__Opinion_2138455|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
Aspes_ALT_110__Opinion_2140628|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
Aspes_ALT_110__Opinion_2148306|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
Aspes_ALT_110__Opinion_2149676|móvil directo horno pirolitico frigorifico americano congelador horizontal frigorifico americano placa vitroceramica|5
Aspes_ALT_110__Opinion_2155125|personal técnico recargo aaspesuno cliente contento móvil directo|5
Aspes_ALT_2106__Opinion_2004710|carga superior clase energético visor digital tiempo restante|4
Aspes_LAF_352__Opinion_2107374|lavadora estupendo gasto energético apertura total aclarado extra facilidad asombrante|4
Aspes_LA_108__Opinion_1281538| |5
Aspes_LA_143__Opinion_1112365|página web página web grupo empresarial grupo cooperativo empresa industrial entidad financiero servicio comercial empresa industrial grupo empresarial segmento medio electrodoméstico español marca verde eficiencia energético carga frontal agua frío aclarado extra x ancho prenda normal tejido delicado lavado corto filtro frontal agua fria ropa blanco ahorro energético apertura total|3
Aspes_LA_143__Opinion_1165048|botón clásico acero inoxidable servicio oficial|4
Aspes_LA_143__Opinion_1263975|página web sentido contrario parte bajo|4
Aspes_LA_143__Opinion_1290197|futuro comprador final solo|5
Aspes_LA_143__Opinion_1389847|lavado rápido|5
Aspes_LA_143__Opinion_1863858|vez mejor|1
Aspes_LA_143__Opinion_2081692|carga completo punto fuerte temperatura extremo resultando ileso carga máximo color resistente color delicado lavado corto marca blanco clase energético programa corto ruido contínuo x ancho mancha difícil mancha insoluble agente especial papel secante caso necesario crema cutáneo agua frío detergente encimático|4
Aspes_LA_143__Opinion_974024|carga superior programa delicado lavadora antiguo pregrama diferente gente inexperto temperatura exacto|2
Aspes_LA_243__Opinion_1120514|vez mejor mas rapido lavadora ultrarapidas tamaño normal parte superior lavadora antiguo mas rentable|3
Aspes_LA_363__Opinion_1264333|programa normal|5
Aspes_LA_363__Opinion_955337|electrodoméstico nuevo mando selector mando selector tecla antiarruga carga frontal programa normal programa delicado tejido resistente programa delicado bomba autolimpiante limpieza adicional lavadora moderno centrifugado rápido espacio razonable súper pequeño tamaño normal técnica oficial uso suavizante parte correspondiente defecto dramático|5
BRU_EL_1008_E__Opinion_1735283|tiempo atmosférico|4
BRU_EL_1008_E__Opinion_1941985|habia lavador mas economica mas economica modelo antiguo|5
BRU_EL_1200_E__Opinion_973919|empresa turco|4
BRU_EL_1208_E__Opinion_1589267|cosa imprescindible carga frontal opinión personal|5
BRU_EL_1208_E__Opinion_1644925|opinión anterior marca bueno|4
BRU_EL_1208_E__Opinion_2021527| |5
BRU_EL_1208_E__Opinion_2083608|carga frontal electrodoméstico pequeño centro comercial|5
BRU_EL_6005_A__Opinion_2081811|equipo electrónico fecha caduco lavadora grande botón suficiente lavadora grande|4
BRU_EL_7000_AA__Opinion_1995161|mas economico fuerza maxima control electronico tiempo restante ropa delicado cosa grave tiempo volvio|4
Balay_3TE_737_C__Opinion_1301188|crujido extraño servicio oficial servicio oficial|3
Balay_3TE_750_C__Opinion_1072933|tiempo restante función adicional lavadora lleno color oscuro puerta delantero gama alto mas caro|5
Balay_3TE_755_SI__Opinion_1260206|mas viejo|4
Balay_3TE_806_BM__Opinion_1999375|ropa blanco ropa sintético cubeta suavizante|5
Balay_3TI_60081_A__Opinion_2004032|clase eficiente|4
Balay_3TI_62101_A__Opinion_2006030|eficiencia energético|4
Balay_3TI_62121_A__Opinion_2013049|familia activo pantalla digital información útil tiempo duro agua frío ciclo especial|5
Balay_3TI_820_B__Opinion_1176055|acero inox|2
Balay_3TI_820_B__Opinion_966593| |3
Balay_3TI_820_B__Opinion_976507|mundo inmobiliario tipo programador manual basico programa largo color blanco tejido resistente ropa delicado tejido sinteticos boton antiarruga integracion total integracion total ropa resistente ropa delicado tejido fino tengais bueno|5
Balay_3TI_829_BM__Opinion_1747237|servicio técnico lavadora normal ropa delicado ropa blanco programa completo ropa limpio ropa delicado servicio técnico consejo final|2
Balay_3TI_830_B__Opinion_1102708|lavado quedaria|2
Balay_3TI_840_A__Opinion_1078085|control exacto reconocimiento automático aclarado extra nivel sonoro lavadora perfecto gasto suplementario|5
Balay_3TI_840_A__Opinion_1180524|mas intenso ropa nuevo limpieza rapida función especial ropa delicado seda frio|5
Balay_3TI_840_A__Opinion_1314947|mando sencillo|5
Balay_3TI_855_A__Opinion_1106222|cosa bueno nombre índico prenda resistente aclarado adicional lavado resistente lavado básico prenda blanco tejido resistente color delicado limpieza similar programa intensivo tejido resistente ropa delicado tejido sintético lavado corto tejido sintético consumo energético|5
Balay_3TI_855_A__Opinion_1151787|eficiencia energético programa normal programa especial prelavado opcional aclarado extra forma rápido prenda delicado|5
Balay_3TI_855_A__Opinion_1491642|cosa bueno|5
Balay_3TI_855_A__Opinion_2092275|prenda sintético prenda delicado idioma disponible lavadora moderno función básico|4
Balay_3TL_941_A__Opinion_2004317|carga superior carga vertical carga superior clase energético efectivo completo lavado completo acero inoxidable|4
Balay_3TL_951_A__Opinion_1269661|carga superior programador electrónico programa especial programa rápido tejido delicado centrifugado suave ropa resistente velocidad máximo zona húmedo aclarado extra cosa práctico producto detergente|4
Balay_3TL_951_A__Opinion_1284336|ropa limpio ropa limpio|4
Balay_3TS50800MY__Opinion_2030801|lavadora anterior x ancho página web|4
Balay_3TS60105__Opinion_1956625|resultado estupendo programa delicado botón justo|4
Balay_3TS71000MY__Opinion_1996673|característica general alimentación eléctrico indic finaliz consumo energetico boton unico herramienta bueno|5
Balay_3TS863__Opinion_2073816|lavadora sencillo mando digital lavadora sencillo flot antiarruga programa especial indicador luminoso lavado rápido|3
Balay_3TS883A__Opinion_2084303|aparato tecnológico apertura frontal eficiencia energético parte central ropa oscuro prenda sintético prenda delicado lavado rápido temporizador digital caso extremo|5
Balay_3TS885XP__Opinion_2136160|carga frontal ahorro energético|5
Balay_3TS997__Opinion_2101989|color blanco garantias estupendo eficiencia energético biene genial gasto energético familia numeroso panel antivibración multifunción digital tiempo restante aclarado extra programa especial súper rápido detergente autolimpiante niño pequeño biene genial|4
Balay_3TS_50100_A__Opinion_1690695|producto eficaz casa facil manejo rapida labarropa viejo|5
Balay_3TS_50100_A__Opinion_1700365|tambor amplio colo blanco clasificación energético|4
Balay_3TS_50100_A__Opinion_1703516| |5
Balay_3TS_50100_A__Opinion_1704339|elemento positivo panel electronico indicador digital color blanco producto similar|5
Balay_3TS_50100_A__Opinion_1705264|espacio pequeño agua caliente panel electronico energia electrica manera frontal|4
Balay_3TS_50100_A__Opinion_1706101|daño esteticos tara estetica cosa bueno clase energetica tiempo vario final normal lavadora genial resto perfecto|5
Balay_3TS_50100_A__Opinion_1772940|inspección ocular aparato medidor zona rural zona rural fluido eléctrico carga constante|1
Balay_3TS_50100_A__Opinion_1791914|lavarropas antiguo marca recomendable lavadora automaticas lavadora independiente lavado automático eficiencia energético sistema anti color blanco|4
